model,accuracy,precision_macro,recall_macro,f1_macro,high_risk_recall,cv_f1
Decision Tree,0.5871051774666233,0.5702962701518877,0.5123581518651262,0.5083073448954946,0.8155149934810951,0.4946642995603063
Random Forest,0.5936177140996418,0.549957452033978,0.5230798414182871,0.5272970168359552,0.8063885267275098,0.5100884423681735
